Problem,Algorithm,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10
gear_train,MSA,2.307815733312755e-11,2.307815733312755e-11,2.307815733312755e-11,9.939875595217474e-11,2.307815733312755e-11,2.307815733312755e-11,8.887614372714457e-10,8.887614372714457e-10,9.74565344700916e-10,9.939875595217474e-11
gear_train,IMSA,8.887614372714457e-10,1.5450450499890773e-10,2.307815733312755e-11,1.1661157678109714e-10,2.307815733312755e-11,2.307815733312755e-11,2.307815733312755e-11,2.307815733312755e-11,2.307815733312755e-11,2.307815733312755e-11
gear_train,PSO,1.3616491390639914e-09,8.700833999836797e-09,8.887614372714457e-10,9.74565344700916e-10,8.887614372714457e-10,2.7264505977152865e-08,2.3576406580248844e-09,2.7264505977152865e-08,3.824836866277994e-09,9.74565344700916e-10
gear_train,GWO,2.7264505977152865e-08,5.607625731640253e-08,2.0629048583741766e-08,3.613979784181299e-07,2.3576406580248844e-09,7.756133456853898e-08,8.173458933810586e-08,2.0629048583741766e-08,1.8273802352995788e-08,3.6358329757156406e-09
gear_train,DE,2.307815733312755e-11,9.939875595217474e-11,2.307815733312755e-11,2.307815733312755e-11,2.307815733312755e-11,2.307815733312755e-11,9.939875595217474e-11,8.887614372714457e-10,9.939875595217474e-11,2.307815733312755e-11
