Function,Mean,Std
F1,3534.5112619231827,3488.249733664465
F2,200.00531000490733,0.010218526792952851
F3,396.74123457338095,42.97742018536473
F4,642.4605870195322,62.798833398206554
F5,500.0000570388259,9.394949010658107e-05
F6,986.819640917496,92.10183351144197
F7,841.323525450911,31.198218968382786
F8,802.526784750743,1.3324677758996248
F9,1009.6450530025696,1529.4187441689749
F10,15687.819330939239,8701.892079949392
F11,8669.453859443387,4820.225692455759
F12,4785.106568575802,3075.80376278335
F13,144121.87279247516,116627.37732672655
F14,14885.486394165502,7144.010105963516
F15,1196.9223498900005,345.35010507718664
F16,2252.0351604609587,390.43101543017394
F17,34459.83305180036,12863.775368168755
F18,12573.233050610374,9866.555252050855
F19,1876.1099245836458,181.94349568347744
F20,2310.4661603851055,165.60768875178738
F21,-4658.147376172958,1422.6952509676707
F22,2475.2503857173447,154.08011928175392
F23,2511.6867477319242,58.78048482845364
F24,2839.9835532606526,15.352310154276223
F25,3354.206252978083,13.891090859825924
F26,3114.3754683672946,14.251610725406405
F27,2798.9735953912086,100.10723972229877
F28,16822.965668025405,10604.076389606204
F29,27082.15138307238,32822.32373170347
