algo,func,run_id,error
PSO,F12017,0,23944278204.43352
PSO,F12017,1,37552320335.0994
PSO,F12017,2,14808555192.367624
PSO,F12017,3,29344707750.468384
PSO,F12017,4,26487858178.658985
PSO,F12017,5,19483352087.059853
PSO,F12017,6,18450721713.126522
PSO,F12017,7,33982253791.169155
PSO,F12017,8,26638992034.333862
PSO,F12017,9,28565611776.993504
PSO,F12017,10,24359631239.411755
PSO,F12017,11,17606564285.649216
PSO,F12017,12,17360048362.418568
PSO,F12017,13,30679010999.007595
PSO,F12017,14,29150908213.455868
PSO,F12017,15,31334402047.11255
PSO,F12017,16,17688027867.977375
PSO,F12017,17,9092495378.625443
PSO,F12017,18,24705764670.66814
PSO,F12017,19,26922386725.797695
PSO,F12017,20,16635927788.59533
PSO,F12017,21,15008586003.64407
PSO,F12017,22,14445649747.666536
PSO,F12017,23,10373332650.756159
PSO,F12017,24,17657700420.031773
PSO,F12017,25,17266937836.36606
PSO,F12017,26,26868881234.571674
PSO,F12017,27,26912477710.349842
PSO,F12017,28,10216223237.439966
PSO,F12017,29,39936041977.64669
PSO,F12017,30,11764990945.675388
PSO,F12017,31,15397918810.260347
PSO,F12017,32,20788487946.641136
PSO,F12017,33,10676792796.62703
PSO,F12017,34,8666151699.271465
PSO,F12017,35,10635434414.19763
PSO,F12017,36,36908809510.63874
PSO,F12017,37,18855729109.856236
PSO,F12017,38,11325881605.191126
PSO,F12017,39,12460972979.148987
PSO,F12017,40,21122708805.80142
PSO,F12017,41,12541391787.053295
PSO,F12017,42,22972886187.399456
PSO,F12017,43,40059024860.02185
PSO,F12017,44,38300434173.4815
PSO,F12017,45,14747225521.099127
PSO,F12017,46,23852517640.56829
PSO,F12017,47,16542220218.753672
PSO,F12017,48,25252368973.46513
PSO,F12017,49,22952705176.001072
SSA,F12017,0,376472644.60622466
SSA,F12017,1,277909027.31047386
SSA,F12017,2,235577926.8163127
SSA,F12017,3,3435805908.73407
SSA,F12017,4,233758528.46757647
SSA,F12017,5,988002898.8451265
SSA,F12017,6,199462126.3962506
SSA,F12017,7,290023953.9655232
SSA,F12017,8,330244958.67082447
SSA,F12017,9,151332773.20541725
SSA,F12017,10,124465492.94937171
SSA,F12017,11,1130285187.323353
SSA,F12017,12,205716450.93776757
SSA,F12017,13,409000250.3087565
SSA,F12017,14,335491736.48676455
SSA,F12017,15,1191792453.7435293
SSA,F12017,16,576433046.0143582
SSA,F12017,17,245252983.2435889
SSA,F12017,18,525782550.61167246
SSA,F12017,19,140823882.06589374
SSA,F12017,20,32171942.00304449
SSA,F12017,21,190105355.8876347
SSA,F12017,22,419297011.35350287
SSA,F12017,23,274532568.61522055
SSA,F12017,24,289250684.1646966
SSA,F12017,25,768858791.7189817
SSA,F12017,26,243927366.6899172
SSA,F12017,27,50382138.81272629
SSA,F12017,28,704143465.261016
SSA,F12017,29,494410994.86831725
SSA,F12017,30,134277877.26317897
SSA,F12017,31,185667059.95443487
SSA,F12017,32,465334248.6930497
SSA,F12017,33,307471635.55712104
SSA,F12017,34,560820100.9770914
SSA,F12017,35,103859776.51517564
SSA,F12017,36,185836988.5980219
SSA,F12017,37,295645302.9051909
SSA,F12017,38,85542261.0105796
SSA,F12017,39,1259992050.3995957
SSA,F12017,40,183388984.68494758
SSA,F12017,41,339960077.3011417
SSA,F12017,42,509245549.7700544
SSA,F12017,43,157291204.02428457
SSA,F12017,44,313769963.0855149
SSA,F12017,45,117813651.68693082
SSA,F12017,46,337259140.5544169
SSA,F12017,47,601406450.3568935
SSA,F12017,48,291746985.0911329
SSA,F12017,49,811508267.2807096
MSA,F12017,0,25866102022.326893
MSA,F12017,1,4246320778.0980744
MSA,F12017,2,6150906499.097625
MSA,F12017,3,1667711438.9495358
MSA,F12017,4,12236699372.812468
MSA,F12017,5,21928229854.46911
MSA,F12017,6,11528875991.815712
MSA,F12017,7,23056183281.217937
