Function,Mean,Std
F12014,11852092.679276789,5074369.224293999
F22014,18609218.195341833,4272585.062584195
F32014,16791.212370848865,6809.089816508716
F42014,142.13366045325233,46.35232623742633
F52014,20.666949413157063,0.17734840716640074
F62014,31.012548635626654,3.6344693577344236
F72014,1.1638992123387721,0.03230359839383231
F82014,112.68340139464257,15.407478268558364
F92014,200.3408447919301,20.44468334670721
F102014,2260.803435494857,627.8085366961071
F112014,4240.556041792804,664.2416270432648
F132014,0.5360665305403655,0.09342893298725628
F142014,0.30854635336515,0.11907111918065333
F152014,32.674612397083386,6.519397167104581
F162014,12.309155657459801,0.3561869323433769
F172014,1271949.139235423,863664.3545094477
F182014,323123.3698528388,110716.44323590964
F192014,1415.3011931323463,2167.814169155182
F202014,117360.80144680131,32395.515793723527
F212014,500768.6601345193,423734.27315531805
F222014,1953.6180906415811,656.4462564153357
F232014,200.0,0.0
F242014,200.0000047091164,2.6145997120508314e-05
F252014,200.0,0.0
F262014,168.18603461763553,46.847328381657
F272014,200.0,0.0
F282014,200.0,0.0
F292014,200.0,0.0
F302014,3392279.647880375,6357257.350038999
