Function,Mean,Std
F12014,353094755.1263945,83387052.93772314
F22014,22245751411.477596,4340775301.660218
F32014,50892.15635916241,10463.757865079817
F42014,1593.4179069866434,680.0117162873051
F52014,21.010327119529144,0.056020898803689344
F62014,35.73442131031385,2.7723666090638854
F72014,187.65534064353866,31.737956467581878
F82014,259.52011609954184,23.461686033491134
F92014,296.5776842051966,25.267836545093022
F102014,6423.139484126969,467.9611237446083
F112014,7415.648093931755,304.095649113714
F132014,3.5405358326515532,0.35594051277707545
F142014,58.605032397558446,10.22724873724977
F152014,9478.83309381668,6845.153148110146
F162014,13.132997500992706,0.23240511222059956
F172014,18030573.781623725,8110963.563472965
F182014,491992866.4298385,192741841.17730975
F192014,10796154.868593937,11409583.641894938
F202014,225404188052.09183,773183005463.6663
F212014,61946742.84394039,28409467.502888463
F222014,116732903.67073306,193195806.74096644
F232014,245.11747578978057,2.6861946034243243
F242014,202.55758546987008,4.272413002982649
F252014,237.5138202771729,13.958007762036296
F262014,103.57940396919392,0.40812661443661724
F272014,1240.1265376616734,179.80098268173114
F282014,2502.0153930588745,417.6172071728917
F292014,256859215.25003505,110194457.83689028
F302014,2749481140.913591,2363738191.2702193
