Function,Mean,Std
F12014,6805831.736916285,2629266.9682875033
F22014,50409.26578809717,20006.705063815232
F32014,5951.484108231031,2217.7256210865085
F42014,108.2267485699723,25.45966011990879
F52014,20.12553038388471,0.08582584185907781
F62014,12.151249892700129,4.047326660464194
F72014,0.17997587057913958,0.0614173028003269
F82014,94.89153409751323,29.678740263701645
F92014,100.85622020372662,25.015403142791783
F102014,3118.6974950055287,592.2986556187712
F112014,3311.0522404161024,736.5236255834125
F132014,0.5294640319426116,0.13870676292491382
F142014,0.552193098718194,0.3597024694755726
F152014,9.729082920915198,2.5404438357783623
F162014,11.962508189074493,0.555646163556679
F172014,276377.54349368694,150212.9669708448
F182014,135596.9515135387,32133.603864260378
F192014,919.5903945017022,2095.659568012152
F202014,157906.9058881033,53199.38615841624
F212014,229803.21189657657,152235.16073079273
F222014,1111.1912834812242,422.8214155308975
F232014,224.49964697345254,2.355454561727905
F242014,213.59989454025498,11.110987845560478
F252014,207.75997225054488,1.988105299754188
F262014,114.56444264576152,35.035561355374725
F272014,636.2923668068158,104.15692484629204
F282014,1060.2345718964593,315.6492021779289
F292014,834473.3934919082,3225702.844678191
F302014,823793.9898904281,1970625.586863606
