Function,Mean,Std
F12014,19458318.006648395,10736641.27237914
F22014,10744041.589475848,23255113.73196232
F32014,7418.891485074212,3455.294088476176
F42014,147.64379090343482,52.31198777667204
F52014,20.326054415018092,0.09823219498749061
F62014,23.254814142787936,3.845690208820598
F72014,1.0479169923160385,0.31089647972223156
F82014,76.71881310107176,17.862681119349137
F92014,185.71193085459433,44.66676469415431
F102014,2072.962874583687,527.8075650182506
F112014,3976.3770722412214,802.8173741038901
F132014,0.6958941018095811,0.12413877051211529
F142014,1.1099560194612286,0.15149611269773192
F152014,18.88091332150354,5.710313341607841
F162014,12.311276888900188,0.600792042583113
F172014,689127.7682198749,478549.74646463705
F182014,187643.04066804092,40454.475693178814
F192014,1824.8463320725423,3555.4216958427996
F202014,241596.92125056818,66079.3748911406
F212014,348045.9285519596,233454.35213096076
F222014,1555.4302130908272,606.3487814246666
F232014,223.2167862007051,0.9083490517918162
F242014,218.3686499689146,21.621259436775055
F252014,213.0784148800264,6.59905469071656
F262014,100.7686155757889,0.15236097531647755
F272014,931.400429189121,141.89571276134222
F282014,1318.8263202808673,285.4536566150656
F292014,5152027.162360617,9393503.097658452
F302014,3557436.612971794,3861299.2373992614
