Function,Mean,Std
F12014,122782415.56421056,57204266.90630001
F22014,752215822.6687822,531782844.2488412
F32014,56206.39033915635,10519.690283238282
F42014,292.6764750943749,113.50944627049495
F52014,20.185161876142164,0.07756993071564157
F62014,31.198803333788756,3.264371066229907
F72014,6.393349358250959,4.317206752623119
F82014,154.20604972506806,29.628027383939937
F92014,183.25483021260078,38.9255857867571
F102014,3911.8978557583014,776.3008565833996
F112014,4365.060629971924,602.7153305678629
F132014,0.5356546300315403,0.14233541816400053
F142014,0.46550757500725015,0.673489559764748
F152014,189.11875758431134,206.48030672177694
F162014,12.411453735729305,0.5060899517325117
F172014,6422305.413328054,4051115.4873258467
F182014,83055.69600078605,20758.81588046756
F192014,25193.94813687251,84501.53855324691
F202014,31184940.779077858,188002199.32921246
F212014,9770842.739341978,9113985.09027643
F222014,3525.6416629009973,881.3420477157343
F232014,264.7962603583483,8.585743356387272
F242014,244.3071613286733,11.101042848132124
F252014,218.27542059730703,4.462251018672301
F262014,110.71290261692064,30.710624733615038
F272014,1039.546764335762,227.84394925198464
F282014,2308.230685833049,737.0326726405922
F292014,32320203.783212915,41107768.38078766
F302014,368006987.5853613,275582631.26223946
