Function,Mean,Std
F1,3347.856506860044,2938.068518134775
F2,200.00097571392772,0.004774929115612694
F3,370.33677476465755,26.26915465020514
F4,584.2412203918257,50.01122275910374
F5,500.0005230834296,0.0009936638439652435
F6,897.5323908851581,72.02890700562534
F7,904.2856056838057,67.77225450791327
F8,802.6061791279142,1.304389267636215
F9,3053.607043574096,752.2547758675512
F10,21224.199434800554,14590.287560728802
F11,6796.016909972704,3218.881071521056
F12,4559.9129207277765,3088.2914382621498
F13,103527.34696372699,80593.73574244413
F14,14620.045114481087,7196.432750553921
F15,1409.025591952121,572.6968358875711
F16,2380.981206010793,475.99465624408145
F17,64889.73816858095,17986.55285103048
F18,14357.724525186784,14437.200057920785
F19,1943.522172638744,199.82297836689028
F20,2167.9615490259357,132.6385466600664
F21,833.7730734147926,1381.264734619022
F22,2400.0013268266207,0.0044627845172210846
F23,2506.4806708606707,45.82421307840585
F24,2833.6477402976802,14.855943920342549
F25,3367.710361330914,10.715662509032944
F26,3117.454513784259,13.906038866842307
F27,2825.162343593727,106.36058469638682
F28,16089.14299635624,36433.304193396616
F29,18198.72043803176,8061.272140636009
