Function,Mean,Std
F1,6268283.394372885,3476327.7775666406
F2,9794.151222431843,6469.456143713607
F3,5569.117290441576,4680.870215510487
F4,514.7933156546776,33.73466321592527
F5,520.9784443955019,0.05768749676511609
F6,628.9225478360336,3.7015833029504996
F7,700.0131957656635,0.01468801231495805
F8,844.3372159761255,15.165239720892615
F9,978.1597251504649,30.234333089504076
F10,1272.3912263387697,1160.0562082679605
F11,3712.2638446569777,566.1761638725551
F12,1202.8604263780414,0.3066507129466232
F13,1300.401169708025,0.0937405150349313
F14,1400.2807636560362,0.05373473464081287
F15,1518.3165725733907,3.6782407103762513
F16,1612.6561018649063,0.39858523776648874
F17,116330.16855219087,85205.68795710943
F18,68102.98328365543,19143.616395517292
F19,2047.0019981209316,238.06013462168434
F20,60073.453608583026,28527.17297911974
F21,32436.020150189615,22044.888581381565
F22,2901.24667885425,321.05596144624565
F23,2522.8464804773566,0.0007958521954824041
F24,2616.3244339011276,7.267073207132079
F25,2719.45991048819,3.668151082658874
F26,2700.3883235878334,0.10152426162569285
F27,3623.9534148671496,92.18941932972103
F28,3480.994460208313,89.71112414967695
F29,135131.23743771273,706073.7406109703
F30,887131.7785518817,1655772.9189732694
